date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:31:55	29459/29459	---MCZ	200	added ('OK')	text/html	etag:W/%225c8f7815-7313%22	https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/html/web-developer1e36.html	(from )
11:31:56	153/153	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Sep%202020%2005:31:57%20GMT	https://mdbootstrap.com/robots.txt		(from )
11:31:57	54641/54641	---MCZ	200	added ('OK')	text/css	etag:W/%22251d28bd755f5269a4531df8a81d5664%22	https://use.fontawesome.com/releases/v5.7.0/css/all.css	C:/Users/sabbir/Documents/demo/use.fontawesome.com/releases/v5.7.0/css/all.css	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:31:57	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%225c8f7816-2606e%22	https://mdbootstrap.com/previews/templates/portfolio/css/bootstrap.min.css	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/css/bootstrap.min.css	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:31:58	473563/473563	---MCZ	200	added ('OK')	text/css	etag:W/%225c8f7816-739db%22	https://mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/css/mdb.min.css	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:31:58	25/25	---M--	200	added ('OK')	text/css	etag:%225c8f7816-19%22	https://mdbootstrap.com/previews/templates/portfolio/css/style.css	C:/Users/sabbir/Documents/demo/mdbootstrap.com/previews/templates/portfolio/css/style.css	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:31:59	110027/110027	---M--	200	added ('OK')	image/jpeg	etag:%225da9cb16-1adcb%22	https://mdbootstrap.com/img/Photos/Horizontal/Work/12-col/img%20(11).jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Photos/Horizontal/Work/12-col/img%20(11).jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:31:59	838843/838843	---M--	200	added ('OK')	image/jpeg	etag:%225da9c722-cccbb%22	https://mdbootstrap.com/img/Photos/Others/forest1.jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Photos/Others/forest1.jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:00	43616/43616	---M--	200	added ('OK')	image/jpeg	etag:%225def7557-aa60%22	https://mdbootstrap.com/img/Mockups/Lightbox/Thumbnail/img%20(63).jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Mockups/Lightbox/Thumbnail/img%20(63).jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:00	339479/339479	---M--	200	added ('OK')	image/jpeg	etag:%225def7534-52e17%22	https://mdbootstrap.com/img/Mockups/Lightbox/Original/img%20(66).jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Mockups/Lightbox/Original/img%20(66).jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:00	95742/95742	---M--	200	added ('OK')	image/jpeg	etag:%225def7557-175fe%22	https://mdbootstrap.com/img/Mockups/Lightbox/Thumbnail/img%20(66).jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Mockups/Lightbox/Thumbnail/img%20(66).jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:01	617609/617609	---M--	200	added ('OK')	image/jpeg	etag:%225def7533-96c89%22	https://mdbootstrap.com/img/Mockups/Lightbox/Original/img%20(65).jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Mockups/Lightbox/Original/img%20(65).jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:01	131766/131766	---M--	200	added ('OK')	image/jpeg	etag:%225def7557-202b6%22	https://mdbootstrap.com/img/Mockups/Lightbox/Thumbnail/img%20(65).jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Mockups/Lightbox/Thumbnail/img%20(65).jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:01	123712/123712	---M--	200	added ('OK')	image/jpeg	etag:%225def7558-1e340%22	https://mdbootstrap.com/img/Mockups/Lightbox/Thumbnail/img%20(67).jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Mockups/Lightbox/Thumbnail/img%20(67).jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:02	276575/276575	---M--	200	added ('OK')	image/jpeg	etag:%225def7535-4385f%22	https://mdbootstrap.com/img/Mockups/Lightbox/Original/img%20(67).jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Mockups/Lightbox/Original/img%20(67).jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:02	719315/719315	---M--	200	added ('OK')	image/jpeg	etag:%225def7538-af9d3%22	https://mdbootstrap.com/img/Mockups/Lightbox/Original/img%20(68).jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Mockups/Lightbox/Original/img%20(68).jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
11:32:02	134447/134447	---M--	200	added ('OK')	image/jpeg	etag:%225def7558-20d2f%22	https://mdbootstrap.com/img/Mockups/Lightbox/Thumbnail/img%20(68).jpg	C:/Users/sabbir/Documents/demo/mdbootstrap.com/img/Mockups/Lightbox/Thumbnail/img%20(68).jpg	(from https://mdbootstrap.com/previews/templates/portfolio/html/web-developer.html?fbclid=IwAR3eylejKjZTCKuHgIYR2cFIz86v5cayDwOSp7UoY4dG9ts-pgK25YqHJZk)
